data,AMBEV,rsi,roc,willr,BRF,EURO,Heineken_euro,JBS,DOLAR,IBOVESPA,cdi,Risco_Brasil,Dividends
2002-03-15,0.8243967294692993,60.64232994795461,1.0543003172311938,-22.352993975024965,,,29.11941909790039,,,14365.0,0.068352,703,0.0
2002-03-18,0.8345739841461182,59.03798323753187,0.15740129845813744,-31.764745481268726,,,29.106552124023438,,,14245.0,0.068352,705,0.0
2002-03-19,0.854931116104126,55.48136047962181,-0.5783417860364071,-52.941242468781205,,,28.881322860717773,,,14118.0,0.068352,705,0.0
2002-03-20,0.8243967294692993,58.05164824537206,0.7923909990073419,-33.33340902175739,,,28.990718841552734,,,14090.0,0.067247,698,0.0
2002-03-21,0.7958980798721313,56.60251829457532,-0.9895860755607999,-41.666704510878695,,,29.18377113342285,,,13717.0,0.067515,718,0.0
2002-03-22,0.8121853470802307,50.58070683298769,0.16068926900327796,-70.96770224041609,,,29.705028533935547,,,13312.0,0.067515,728,0.0
2002-03-25,0.8142206072807312,46.30251974888008,-3.705631994399805,-82.72723016661551,,,29.795120239257812,,,13278.0,0.067548,731,0.0
2002-03-26,0.8101496696472168,44.99111755268675,-4.42246880586773,-89.99994798141896,,,29.762943267822266,,,13570.0,0.067582,723,0.0
2002-03-27,0.8101496696472168,46.421053898055916,-2.742608520698153,-82.14280240393867,,,29.73076629638672,,,13425.0,0.067582,725,0.0
2002-03-28,0.8142206072807312,46.63447783311584,-2.432570535084422,-75.20653731385632,,,30.05253028869629,,,13255.0,0.067548,717,0.0
2002-03-29,0.8142206072807312,41.31732864812325,-5.320816138258799,-95.83339293803496,,,29.73076629638672,,,,,717,0.0
2002-04-01,0.7979338765144348,44.71168186285715,-4.138297062403373,-74.07415779866288,,,29.73076629638672,,,13467.0,0.067448,718,0.0
2002-04-02,0.8142206072807312,37.93723026721601,-5.499730389056756,-92.25800656128253,,,30.245588302612305,,,13245.0,0.067247,720,0.0
2002-04-03,0.8142206072807312,40.20615876865436,-5.81761328506315,-85.80648892629755,,,30.245588302612305,,,13085.0,0.067113,728,0.0
2002-04-04,0.8142206072807312,42.03198307276389,-5.049978854617598,-80.64520098542293,,,30.245588302612305,,,13360.0,0.067079,733,0.0
2002-04-05,0.8142206072807312,41.352084284129155,-3.6898422775740847,-83.2257834284547,,,30.406476974487305,,,13276.0,0.067046,737,0.0
2002-04-08,0.8142206072807312,40.47078896599405,-2.655835545823193,-86.18427491912593,,,30.760398864746094,,,13160.0,0.067012,744,0.0
2002-04-09,0.8060794472694397,42.324029079003736,-1.8508445130919204,-76.33579783872874,,,30.985641479492188,,,13195.0,0.067012,746,0.0
2002-04-10,0.8142206072807312,46.66641263351817,-1.3015171592587471,-54.71690304563595,2.2064621448516846,,31.307392120361328,,,13416.0,0.067012,746,0.0
2002-04-11,0.8142206072807312,46.44489070712376,-1.4092152744193842,-44.70576355619383,,,31.049989700317383,,,13411.0,0.067012,739,0.0
2002-04-12,0.854931116104126,43.760454119555746,-0.4407709387738934,-55.55557910307952,,,31.21087074279785,,,13751.0,0.067012,722,0.0
2002-04-15,0.854931116104126,36.24115715118025,-3.4426185083699212,-76.78571124466326,,,30.63170623779297,,,13472.0,0.067012,748,0.0
2002-04-16,0.854931116104126,34.48622136618605,-1.7347585827215517,-86.60718695238273,,,30.663867950439453,,,13623.0,0.067012,732,0.0
2002-04-17,0.854931116104126,32.77697301235072,-2.8937037856679226,-88.52449533481753,,,31.082162857055664,,,13732.0,0.066844,733,0.0
2002-04-18,0.854931116104126,31.55214492053442,-3.7673043023235375,-90.62493946406512,,,31.146520614624023,,,13573.0,0.066979,740,0.0
2002-04-19,0.8142206072807312,31.55214492053442,-3.5535779095776987,-88.57134034027123,,,31.21087074279785,,,13478.0,0.067012,741,0.0
2002-04-22,0.8162555694580078,37.32425628023139,-2.3385199908413257,-70.37021992790928,,,31.371761322021484,,,13224.0,0.066878,751,0.0
2002-04-23,0.8243967294692993,33.082696393051684,-4.048815428640884,-89.28579943528803,,,31.854394912719727,,,13188.0,0.066844,772,0.0
2002-04-24,0.8264329433441162,40.9160558213237,-3.5164904954306464,-66.07147114621544,,,31.86726188659668,,,13381.0,0.066811,783,0.0
2002-04-25,0.8182910084724426,40.13762245929123,-3.6833428071620267,-69.64281456807026,,,31.86726188659668,,,13273.0,0.066811,794,0.0
2002-04-26,0.8121853470802307,45.44687333876472,-1.992255763317352,-52.67863529075173,,,32.176151275634766,,,13076.0,0.06671,815,0.0
2002-04-29,0.8203266859054565,42.458696425663916,-0.5659331128350487,-65.17859271596485,,,32.46066665649414,,,13090.0,0.066542,825,0.0
2002-04-30,0.8305034041404724,37.86266637681594,-1.3097924215909718,-86.48652828373083,,,32.33135223388672,,,13085.0,0.066106,857,0.0
2002-05-01,0.8305034041404724,39.3359449530114,-0.40115529577237075,-77.52820306204674,,,32.33135223388672,,,,,854,0.0
2002-05-02,0.8488259315490723,44.44294674543788,1.0938319949866493,-37.70511794281712,,,31.749372482299805,,,12538.0,0.066609,883,0.0
2002-05-03,0.8412927985191345,44.99702629476066,1.208975672576451,-34.426357655652005,,,31.749372482299805,,,12610.0,0.066542,879,0.0
